title,company,model,year,price,mileage,color,transmission,location,date_posted,features,detail_link
Volkswagen Tiguan 2018,Volkswagen,Tiguan,2018,"1,640,000 EGP","58,000 Km",Dark blue,N/A,Alexandria,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/7030177
BMW X6 M 2019,BMW,X6,2019,"3,650,000 EGP","80,000 Km",Silver,N/A,Port Said,2025-08-07,Automatic | Air Conditioner,https://eg.hatla2ee.com/en/car/bmw/X6-M/7032781
MG ZS 2021,MG,ZS,2021,"800,000 EGP","100,000 Km",Silver,N/A,Luxor,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/zs/7032750
Chevrolet Optra 2005,Chevrolet,Optra,2005,"360,000 EGP","270,000 Km",White,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/chevrolet/optra/7032736
Peugeot 3008 2021,Peugeot,3008,3008,"1,850,000 EGP","20,000 Km",Red,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/peugeot/3008/7032727
Jeep Liberty 2003,Jeep,Liberty,2003,"480,000 EGP","250,000 Km",Dark red,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/jeep/liberty/7032712
Hyundai Accent RB 2021,Hyundai,Accent,2021,"660,000 EGP","110,000 Km",Red,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/7032700
Renault Logan 2021,Renault,Logan,2021,"580,000 EGP","120,000 Km",Red,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/renault/logan/7032697
Mercedes CLA 200 2022,Mercedes,CLA,2022,"2,650,000 EGP","4,800 Km",Dark blue,N/A,Sheikh Zayed City,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/mercedes/cla-200/7032659
Volkswagen Caddy 2021,Volkswagen,Caddy,2021,"1,300,000 EGP","139,000 Km",Black,N/A,Nasr city,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/caddy/7032287
Renault Sandero Step Way 2013,Renault,Sandero,2013,"390,000 EGP","143,000 Km",Silver,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/renault/sandero-step-way/7032864
Kia Carens 2014,Kia,Carens,2014,"950,000 EGP","90,000 Km",Mocha,N/A,Mansoura,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/kia/carens/7032850
Hyundai Verna 2012,Hyundai,Verna,2012,"345,000 EGP","262,000 Km",Black,N/A,Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/hyundai/verna/7032863
Proton Gen 2 2013,Proton,Gen,2013,"440,000 EGP","240,000 Km",Silver,N/A,6 October,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/proton/gen-2/7032836
Nissan Sentra 2024,Nissan,Sentra,2024,-,"22,000 Km",Silver,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sentra/7032862
Kia Cerato 2016,Kia,Cerato,2016,"620,000 EGP","214,000 Km",Silver,N/A,Dakahlia,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/kia/cerato/7032838
MG One 2025,MG,One,2025,"1,300,000 EGP","10,000 Km",Black,N/A,Sheikh Zayed City,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/MG+One/7030296
Renault Fluence 2010,Renault,Fluence,2010,"420,000 EGP","217,000 Km",Black,N/A,Mokattam,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/renault/fluence/7032851
Skoda Octavia A5 2008,Skoda,Octavia,2008,"520,000 EGP","165,000 Km",Black,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/skoda/Octavia-A5/7028007
Jetour X70 2022,Jetour,X70,2022,"1,000,000 EGP","157,000 Km",White,N/A,Ismailia,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/jetour/X70/7032742
Suzuki Ciaz 2021,Suzuki,Ciaz,2021,-,N/A,White,N/A,10th of Ramadan,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/suzuki/ciaz/7032183
MG 5 2020,MG,5,2020,"700,000 EGP","220,000 Km",White,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/7032849
Chery Arrizo 5 2025,Chery,Arrizo,2025,"690,000 EGP","8,000 Km",Eggplant,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7032839
Kia Cerato 2015,Kia,Cerato,2015,"870,000 EGP",N/A,Dark grey,N/A,Heliopolis,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/kia/cerato/7032847
Mercedes C 180 2009,Mercedes,C,2009,"950,000 EGP","410,000 Km",Silver,N/A,10th of Ramadan,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/mercedes/c-180/6990877
Renault 9 1986,Renault,9,1986,"85,000 EGP","100,000 Km",White,N/A,Al Shorouk,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/renault/9/7032843
Speranza A516 2010,Speranza,A516,2010,"205,000 EGP","205,000 Km",Silver,N/A,Al Shorouk,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/speranza/a516/7032841
Chevrolet Lanos 2014,Chevrolet,Lanos,2014,"370,000 EGP",N/A,Dark blue,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7032831
Hyundai Accent 2010,Hyundai,Accent,2010,"450,000 EGP","240,000 Km",Silver,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/hyundai/accent/7028005
Suzuki Swift Dzire 2022,Suzuki,Swift,2022,"630,000 EGP","60,000 Km",Mocha,N/A,Sharqia,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/suzuki/swift-dzire/7032830
Nissan Sunny 2013,Nissan,Sunny,2013,"400,000 EGP","97,000 Km",Black,N/A,Alexandria,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/nissan/sunny/7032828
Volkswagen Pointer 2005,Volkswagen,Pointer,2005,"160,000 EGP","20,000 Km",Black,N/A,6 October,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/pointer/7032827
Chevrolet Optra 2019,Chevrolet,Optra,2019,"520,000 EGP","105,000 Km",Dark grey,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chevrolet/optra/6990853
Peugeot 301 2014,Peugeot,301,2014,"470,000 EGP","115,000 Km",Bronze,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/peugeot/301/6992134
Hyundai I10 2014,Hyundai,I10,2014,"460,000 EGP","69,000 Km",Red,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/hyundai/i10/7016114
MG RX5 Plus 2025,MG,RX5,2025,"1,450,000 EGP","1,000 Km",Dark grey,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/RX5-Plus/7030270
Peugeot 304 1976,Peugeot,304,1976,"60,000 EGP","2,000,000 Km",Silver,N/A,Heliopolis,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/peugeot/peugeot-304/7032818
Other Other 2011,Other,Other,2011,"655,000 EGP",N/A,Mocha,N/A,Kafr el-Sheikh,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/other/other-other/7032784
Hyundai Excel 1997,Hyundai,Excel,1997,"147,000 EGP","365,000 Km",Other,N/A,10th of Ramadan,2025-08-07,Remote Control,https://eg.hatla2ee.com/en/car/hyundai/excel/7032816
Hyundai Verna 2012,Hyundai,Verna,2012,"350,000 EGP","220,000 Km",Black,N/A,Tanta,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/hyundai/verna/7027974
Nissan Sunny 2021,Nissan,Sunny,2021,"565,000 EGP","112,000 Km",Bronze,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sunny/7032630
Skoda Kodiaq 2020,Skoda,Kodiaq,2020,"2,750,000 EGP","52,000 Km",White,N/A,Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/skoda/kodiaq/7032628
Nissan Sunny 2016,Nissan,Sunny,2016,"465,000 EGP","135,000 Km",Bronze,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/nissan/sunny/7032619
Mercedes GLC 300 2023,Mercedes,GLC,2023,"4,450,000 EGP","14,000 Km",Gold,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/glc-300/7032597
Mercedes C 180 2020,Mercedes,C,2020,"2,000,000 EGP","88,000 Km",Beige,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/c-180/7032594
Honda City 2006,Honda,City,2006,"390,000 EGP","407,170 Km",Black,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner,https://eg.hatla2ee.com/en/car/honda/city/7032587
Mercedes C 200 2019,Mercedes,C,2019,"2,200,000 EGP","113,000 Km",Gray,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/c-200/7031685
Volkswagen Pointer 2006,Volkswagen,Pointer,2006,"276,000 EGP","146,000 Km",Gold,N/A,Alexandria,2025-08-07,Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/volks-wagen/pointer/6983157
BMW 318 2016,BMW,318,2016,"1,160,000 EGP","136,000 Km",Silver,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/bmw/318/7032557
Fiat 128 1980,Fiat,128,1980,"45,000 EGP","50,000 Km",Blue,N/A,10th of Ramadan,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/fiat/128/7032553
Nissan Sunny 2008,Nissan,Sunny,2008,"400,000 EGP","181,000 Km",Black,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sunny/7032802
Chevrolet Spark 2008,Chevrolet,Spark,2008,"225,000 EGP","156,954 Km",Black,N/A,El Haram,2025-08-07,Air Conditioner,https://eg.hatla2ee.com/en/car/chevrolet/spark/7027942
Hyundai Avante 2005,Hyundai,Avante,2005,"470,000 EGP","176,000 Km",Silver,N/A,Kafr el-Sheikh,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/avante/7027960
Hyundai Tucson Turbo GDI 2022,Hyundai,Tucson,2022,"1,600,000 EGP","42,000 Km",Dark blue,N/A,Monufia,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/7027946
Land Rover Range Rover 2008,Land,Rover,2008,"1,600,000 EGP",N/A,Red,N/A,Giza,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/land-rover/range-rover/7027952
MG ZS 2021,MG,ZS,2021,-,"38,000 Km",Red,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/zs/7032801
Mercedes E 240 1999,Mercedes,E,1999,"630,000 EGP","252,000 Km",Dark blue,N/A,Shobra,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/e-240/7027954
Nissan Juke 2014,Nissan,Juke,2014,"620,000 EGP","150,000 Km",White,N/A,El Haram,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/nissan/juke/7032797
Mitsubishi Lancer 2012,Mitsubishi,Lancer,2012,"525,000 EGP","171,000 Km",Blue,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/mitsubishi/lancer/7032768
Hyundai Avante 2007,Hyundai,Avante,2007,"620,000 EGP","140,000 Km",Black,N/A,Agamy,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/hyundai/avante/7030189
Opel Vectra 2002,Opel,Vectra,2002,"310,000 EGP","270,000 Km",White,N/A,Etay al-Barud,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/opel/vectra/7030211
Chevrolet Optra 2009,Chevrolet,Optra,2009,"450,000 EGP","140,000 Km",Dark red,N/A,Heliopolis,2025-08-07,Automatic | Air Conditioner,https://eg.hatla2ee.com/en/car/chevrolet/optra/7032704
Hyundai Excel 1995,Hyundai,Excel,1995,"160,000 EGP","225,000 Km",Dark red,N/A,El Senbellawein,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/hyundai/excel/7032794
Nissan Sunny 2020,Nissan,Sunny,2020,"535,000 EGP","150,000 Km",Black,N/A,Helwan,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sunny/7027912
Hyundai Elantra 2006,Hyundai,Elantra,2006,"330,000 EGP","287,000 Km",Dark blue,N/A,6 October,2025-08-07,Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/hyundai/elantra/7027920
Chevrolet Aveo 2006,Chevrolet,Aveo,2006,"270,000 EGP",N/A,Red,N/A,Qalyubia,2025-08-07,Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chevrolet/aveo/7027918
Mercedes E 180 2019,Mercedes,E,2019,"2,475,000 EGP","175,000 Km",White,N/A,Pyramids Gardens,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/mercedes/e-180/7032792
Citroën C3 Aircross 2024,Citroën,C3,2024,"1,070,000 EGP","25,000 Km",Red,N/A,Al Shorouk,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/citroen/C3-Aircross/7032780
Renault Rainbow 1999,Renault,Rainbow,1999,"120,000 EGP",N/A,Red,N/A,Khanka,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/renault/rainbow/7032787
Opel Vectra 1995,Opel,Vectra,1995,"180,000 EGP","300,000 Km",Dark blue,N/A,Giza,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/opel/vectra/7032779
Toyota Corolla 2007,Toyota,Corolla,2007,"600,000 EGP","147,000 Km",Black,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/toyota/corolla/7032774
Volkswagen Tiguan 2018,Volkswagen,Tiguan,2018,"1,640,000 EGP","58,000 Km",Dark blue,N/A,Alexandria,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/7030177
Renault Logan 2013,Renault,Logan,2013,"370,000 EGP","157,000 Km",Dark red,N/A,Alexandria,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/renault/logan/7032769
Chevrolet Optra 2008,Chevrolet,Optra,2008,"355,000 EGP","217,000 Km",Dark red,N/A,Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/chevrolet/optra/7032771
Hyundai Verna 2015,Hyundai,Verna,2015,"370,000 EGP","170,000 Km",Silver,N/A,Tagamo3 - New Cairo,2025-08-07,Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/hyundai/verna/7032772
Skoda Octavia A7 2015,Skoda,Octavia,2015,"1,100,000 EGP","93,000 Km",Silver,N/A,Giza,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/skoda/Octavia-A7/7032770
Kia Cerato 2016,Kia,Cerato,2016,"800,000 EGP","147,000 Km",White,N/A,Kafr el-Sheikh,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/kia/cerato/7032622
Chevrolet Lanos 2013,Chevrolet,Lanos,2013,"285,000 EGP","400,000 Km",Black,N/A,Asyut,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7032765
Toyota GR Corolla 2025,Toyota,GR,2025,"1,650,000 EGP","1,800 Km",White,N/A,El Marg,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/toyota/toyota-gr-corolla/7027884
Speranza Tiggo 2024,Speranza,Tiggo,2024,"1,450,000 EGP","31,500 Km",Blue,N/A,Sheikh Zayed City,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/speranza/tiggo/7027904
Volkswagen Pointer 2006,Volkswagen,Pointer,2006,"276,000 EGP","146,000 Km",Gold,N/A,Alexandria,2025-08-07,Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/volks-wagen/pointer/6983157
BMW 318 2016,BMW,318,2016,"1,160,000 EGP","136,000 Km",Silver,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/bmw/318/7032557
Fiat 128 1980,Fiat,128,1980,"45,000 EGP","50,000 Km",Blue,N/A,10th of Ramadan,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/fiat/128/7032553
Citroën C3 Aircross 2021,Citroën,C3,2021,"750,000 EGP","70,000 Km",Gray,N/A,Nasr city,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/citroen/C3-Aircross/7032533
Mini Cooper 2017,Mini,Cooper,2017,"1,050,000 EGP","95,000 Km",White,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/mini/cooper/6996072
Opel Crossland 2022,Opel,Crossland,2022,"920,000 EGP","40,000 Km",Dark blue,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/opel/Crossland/7018064
Toyota Corolla 2021,Toyota,Corolla,2021,"1,010,000 EGP","102,000 Km",Silver,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/toyota/corolla/7024809
Skoda Superb 2021,Skoda,Superb,2021,"1,550,000 EGP","96,000 Km",Black,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/skoda/superb/7023431
Renault Duster 2020,Renault,Duster,2020,"680,000 EGP","320,000 Km",White,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/renault/duster/7032528
Hyundai Tucson 2022,Hyundai,Tucson,2022,"1,850,000 EGP","5,000 Km",Red,N/A,Tagamo3 - New Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/tucson/7032518
Skoda Octavia A7 2015,Skoda,Octavia,2015,"1,100,000 EGP","93,000 Km",Silver,N/A,Giza,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/skoda/Octavia-A7/7032770
Kia Cerato 2016,Kia,Cerato,2016,"800,000 EGP","147,000 Km",White,N/A,Kafr el-Sheikh,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/kia/cerato/7032622
Chevrolet Lanos 2013,Chevrolet,Lanos,2013,"285,000 EGP","400,000 Km",Black,N/A,Asyut,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/7032765
Toyota GR Corolla 2025,Toyota,GR,2025,"1,650,000 EGP","1,800 Km",White,N/A,El Marg,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/toyota/toyota-gr-corolla/7027884
Speranza Tiggo 2024,Speranza,Tiggo,2024,"1,450,000 EGP","31,500 Km",Blue,N/A,Sheikh Zayed City,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/speranza/tiggo/7027904
Opel Astra 2020,Opel,Astra,2020,"750,000 EGP","118,000 Km",Black,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/opel/astra/7027893
Byd F3 2015,Byd,F3,2015,"390,000 EGP","150,000 Km",Red,N/A,Helwan,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/byd/f3/7027882
Daewoo Lanos 2 2007,Daewoo,Lanos,2007,"325,000 EGP","300,000 Km",Silver,N/A,Tanta,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/daewoo/lanos-2/7027881
Peugeot 504 1979,Peugeot,504,1979,"75,000 EGP","54,000 Km",Green,N/A,Dakahlia,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/peugeot/504/7032637
Skoda Fantasia 2013,Skoda,Fantasia,2013,"670,000 EGP","210,000 Km",Black,N/A,Nasr city,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/skoda/fantasia/7032766
Kia Cerato 2016,Kia,Cerato,2016,"920,000 EGP","84,000 Km",Dark grey,N/A,Mit Ghamr,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/kia/cerato/7032762
Daewoo Juliet 1999,Daewoo,Juliet,1999,"280,000 EGP","385,000 Km",Bronze,N/A,Mansoura,2025-08-07,Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/daewoo/juliet/7032759
Hyundai Avante 2002,Hyundai,Avante,2002,"450,000 EGP","201,000 Km",Silver,N/A,Obour City,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/avante/7032757
Chevrolet Aveo 2006,Chevrolet,Aveo,2006,"250,000 EGP","212,000 Km",Silver,N/A,Obour City,2025-08-07,Automatic | Air Conditioner,https://eg.hatla2ee.com/en/car/chevrolet/aveo/7032746
Other Other 1997,Other,Other,1997,"100,000 EGP","150,000 Km",White,N/A,El-Arish,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/other/other-other/7032751
Kia Saipa 2014,Kia,Saipa,2014,"350,000 EGP","100,000 Km",Blue,N/A,Cairo,2025-08-06,Air Conditioner,https://eg.hatla2ee.com/en/car/kia/saipa/7027850
Jeep Grand Cherokee 2015,Jeep,Grand,2015,"1,650,000 EGP","130,000 Km",Red,N/A,6 October,2025-08-06,N/A,https://eg.hatla2ee.com/en/car/jeep/grand-Cherokee/7027877
Jeep Grand Cherokee 2018,Jeep,Grand,2018,"2,670,000 EGP","90,000 Km",White,N/A,Alexandria,2025-08-06,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/jeep/grand-Cherokee/7027870
Honda CRV 2025,Honda,CRV,2025,"3,000,000 EGP","2,000 Km",Dark blue,N/A,Abu Kabir,2025-08-06,N/A,https://eg.hatla2ee.com/en/car/honda/crv/7027845
Peugeot 301 2020,Peugeot,301,2020,"700,000 EGP","80,000 Km",Silver,N/A,6 October,2025-08-06,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/peugeot/301/7027852
Toyota Corolla 2021,Toyota,Corolla,2021,"800,000 EGP","300,000 Km",White,N/A,Shobra,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/toyota/corolla/7032741
Nissan Sunny 2022,Nissan,Sunny,2022,"690,000 EGP","55,000 Km",Bronze,N/A,Alexandria,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sunny/7032732
Kia Soul 2015,Kia,Soul,2015,"920,000 EGP","54,000 Km",Beige,N/A,Mansoura,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/kia/soul/7032734
Nissan Qashqai 2016,Nissan,Qashqai,2016,"750,000 EGP","197,000 Km",Silver,N/A,Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/nissan/qashqai/7032729
Toyota Corolla 2015,Toyota,Corolla,2015,"870,000 EGP","119,000 Km",White,N/A,Tagamo3 - New Cairo,2025-08-06,N/A,https://eg.hatla2ee.com/en/car/toyota/corolla/7030143
Mercedes E 200 AMG 2023,Mercedes,E,2023,"4,500,000 EGP","4,000 Km",Silver,N/A,Tanta,2025-08-06,N/A,https://eg.hatla2ee.com/en/car/mercedes/E-200-AMG/7030125
Renault Logan 2016,Renault,Logan,2016,"460,000 EGP","160,000 Km",Silver,N/A,Al Shorouk,2025-08-07,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/renault/logan/7032720
Renault Fluence 2017,Renault,Fluence,2017,"615,000 EGP","201,000 Km",Other,N/A,El Haram,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/renault/fluence/7032695
Chery Tiggo 7 2023,Chery,Tiggo,2023,"800,000 EGP","80,000 Km",Silver,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/7032719
Chevrolet Optra 2009,Chevrolet,Optra,2009,"385,000 EGP","300,000 Km",Dark blue,N/A,Banha,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/chevrolet/optra/7032718
Mercedes A 200 2020,Mercedes,A,2020,"1,900,000 EGP","83,000 Km",Black,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mercedes/a-200/7032501
Peugeot 308 sw 2011,Peugeot,308,2011,"540,000 EGP","133,000 Km",Dark blue,N/A,Aswan,2025-08-07,Automatic,https://eg.hatla2ee.com/en/car/peugeot/308-sw/7030344
Toyota Corolla 2019,Toyota,Corolla,2019,"1,010,000 EGP","62,000 Km",Silver,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/toyota/corolla/7031745
Opel Grandland 2020,Opel,Grandland,2020,"1,050,000 EGP","93,000 Km",Red,N/A,Cairo,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/opel/Grandland/7031738
Geely Imperial 2019,Geely,Imperial,2019,"485,000 EGP","150,000 Km",Brown,N/A,Mohandessin,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/geely/Imperial/7027292
BMW 320 2015,BMW,320,2015,"300,000 EGP","168,000 Km",Cyan,N/A,Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/bmw/320/7032476
Skoda Octavia A7 2015,Skoda,Octavia,2015,"850,000 EGP","150,000 Km",Gray,N/A,Sharqia,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/skoda/Octavia-A7/7002035
Opel Grandland 2020,Opel,Grandland,2020,"1,150,000 EGP","114,000 Km",Gray,N/A,6 October,2025-08-07,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/opel/Grandland/7028773
Mitsubishi Pajero 2015,Mitsubishi,Pajero,2015,"1,600,000 EGP","230,000 Km",Black,N/A,Tagamo3 - New Cairo,2025-08-07,N/A,https://eg.hatla2ee.com/en/car/mitsubishi/pajero/7031607
